"SpcRecID","Scientific name","English name","Family","Global IUCN Red List Category"
"60","Ortalis vetula","Plain Chachalaca","Cracidae (Guans, Chachalacas, Curassows)","LC"
"315","Oreortyx pictus","Mountain Quail","Odontophoridae (New World quails)","LC"
"30131","Colinus virginianus","Northern Bobwhite","Odontophoridae (New World quails)","NT"
"316","Callipepla squamata","Scaled Quail","Odontophoridae (New World quails)","LC"
"319","Callipepla gambelii","Gambel's Quail","Odontophoridae (New World quails)","LC"
"318","Callipepla californica","California Quail","Odontophoridae (New World quails)","LC"
"1016846","Cyrtonyx montezumae","Montezuma Quail","Odontophoridae (New World quails)","LC"
"304","Meleagris gallopavo","Wild Turkey","Phasianidae (Pheasants, Partridges, Turkeys, Grouse)","LC"
"299","Bonasa umbellus","Ruffed Grouse","Phasianidae (Pheasants, Partridges, Turkeys, Grouse)","LC"
"290","Lagopus lagopus","Willow Grouse","Phasianidae (Pheasants, Partridges, Turkeys, Grouse)","LC"
"291","Lagopus muta","Rock Ptarmigan","Phasianidae (Pheasants, Partridges, Turkeys, Grouse)","LC"
"292","Lagopus leucura","White-tailed Ptarmigan","Phasianidae (Pheasants, Partridges, Turkeys, Grouse)","LC"
"32361","Dendragapus obscurus","Dusky Grouse","Phasianidae (Pheasants, Partridges, Turkeys, Grouse)","LC"
"32362","Dendragapus fuliginosus","Sooty Grouse","Phasianidae (Pheasants, Partridges, Turkeys, Grouse)","LC"
"1016976","Canachites canadensis","Spruce Grouse","Phasianidae (Pheasants, Partridges, Turkeys, Grouse)","LC"
"1016975","Canachites franklinii","Franklin's Grouse","Phasianidae (Pheasants, Partridges, Turkeys, Grouse)","LC"
"300","Centrocercus urophasianus","Sage Grouse","Phasianidae (Pheasants, Partridges, Turkeys, Grouse)","NT"
"30035","Centrocercus minimus","Gunnison Grouse","Phasianidae (Pheasants, Partridges, Turkeys, Grouse)","EN"
"301","Tympanuchus phasianellus","Sharp-tailed Grouse","Phasianidae (Pheasants, Partridges, Turkeys, Grouse)","LC"
"302","Tympanuchus cupido","Greater Prairie-chicken","Phasianidae (Pheasants, Partridges, Turkeys, Grouse)","NT"
"303","Tympanuchus pallidicinctus","Lesser Prairie-chicken","Phasianidae (Pheasants, Partridges, Turkeys, Grouse)","VU"
"354","Dendrocygna autumnalis","Black-bellied Whistling-duck","Anatidae (Ducks, Geese, Swans)","LC"
"349","Dendrocygna bicolor","Fulvous Whistling-duck","Anatidae (Ducks, Geese, Swans)","LC"
"356","Nomonyx dominicus","Masked Duck","Anatidae (Ducks, Geese, Swans)","LC"
"1016821","Oxyura jamaicensis","Ruddy Duck","Anatidae (Ducks, Geese, Swans)","LC"
"370","Cygnus buccinator","Trumpeter Swan","Anatidae (Ducks, Geese, Swans)","LC"
"369","Cygnus cygnus","Whooper Swan","Anatidae (Ducks, Geese, Swans)","LC"
"371","Cygnus columbianus","Tundra Swan","Anatidae (Ducks, Geese, Swans)","LC"
"386","Branta bernicla","Brent Goose","Anatidae (Ducks, Geese, Swans)","LC"
"32141","Branta hutchinsii","Cackling Goose","Anatidae (Ducks, Geese, Swans)","LC"
"384","Branta canadensis","Canada Goose","Anatidae (Ducks, Geese, Swans)","LC"
"383","Branta sandvicensis","Hawaiian Goose","Anatidae (Ducks, Geese, Swans)","NT"
"382","Anser canagicus","Emperor Goose","Anatidae (Ducks, Geese, Swans)","NT"
"380","Anser caerulescens","Snow Goose","Anatidae (Ducks, Geese, Swans)","LC"
"381","Anser rossii","Ross's Goose","Anatidae (Ducks, Geese, Swans)","LC"
"376","Anser albifrons","Greater White-fronted Goose","Anatidae (Ducks, Geese, Swans)","LC"
"490","Clangula hyemalis","Long-tailed Duck","Anatidae (Ducks, Geese, Swans)","VU"
"486","Somateria fischeri","Spectacled Eider","Anatidae (Ducks, Geese, Swans)","NT"
"485","Somateria spectabilis","King Eider","Anatidae (Ducks, Geese, Swans)","LC"
"484","Somateria mollissima","Common Eider","Anatidae (Ducks, Geese, Swans)","NT"
"487","Polysticta stelleri","Steller's Eider","Anatidae (Ducks, Geese, Swans)","VU"
"492","Melanitta perspicillata","Surf Scoter","Anatidae (Ducks, Geese, Swans)","LC"
"32254","Melanitta deglandi","White-winged Scoter","Anatidae (Ducks, Geese, Swans)","LC"
"31681","Melanitta americana","Black Scoter","Anatidae (Ducks, Geese, Swans)","NT"
"496","Bucephala albeola","Bufflehead","Anatidae (Ducks, Geese, Swans)","LC"
"494","Bucephala clangula","Common Goldeneye","Anatidae (Ducks, Geese, Swans)","LC"
"495","Bucephala islandica","Barrow's Goldeneye","Anatidae (Ducks, Geese, Swans)","LC"
"498","Lophodytes cucullatus","Hooded Merganser","Anatidae (Ducks, Geese, Swans)","LC"
"502","Mergus merganser","Goosander","Anatidae (Ducks, Geese, Swans)","LC"
"500","Mergus serrator","Red-breasted Merganser","Anatidae (Ducks, Geese, Swans)","LC"
"489","Histrionicus histrionicus","Harlequin Duck","Anatidae (Ducks, Geese, Swans)","LC"
"488","Camptorhynchus labradorius","Labrador Duck","Anatidae (Ducks, Geese, Swans)","EX"
"409","Cairina moschata","Muscovy Duck","Anatidae (Ducks, Geese, Swans)","LC"
"417","Aix sponsa","Wood Duck","Anatidae (Ducks, Geese, Swans)","LC"
"474","Aythya americana","Redhead","Anatidae (Ducks, Geese, Swans)","LC"
"473","Aythya valisineria","Canvasback","Anatidae (Ducks, Geese, Swans)","LC"
"475","Aythya collaris","Ring-necked Duck","Anatidae (Ducks, Geese, Swans)","LC"
"480","Aythya fuligula","Tufted Duck","Anatidae (Ducks, Geese, Swans)","LC"
"482","Aythya marila","Greater Scaup","Anatidae (Ducks, Geese, Swans)","LC"
"483","Aythya affinis","Lesser Scaup","Anatidae (Ducks, Geese, Swans)","LC"
"448","Spatula clypeata","Northern Shoveler","Anatidae (Ducks, Geese, Swans)","LC"
"444","Spatula cyanoptera","Cinnamon Teal","Anatidae (Ducks, Geese, Swans)","LC"
"443","Spatula discors","Blue-winged Teal","Anatidae (Ducks, Geese, Swans)","LC"
"427","Mareca strepera","Gadwall","Anatidae (Ducks, Geese, Swans)","LC"
"429","Mareca penelope","Eurasian Wigeon","Anatidae (Ducks, Geese, Swans)","LC"
"430","Mareca americana","American Wigeon","Anatidae (Ducks, Geese, Swans)","LC"
"437","Anas laysanensis","Laysan Duck","Anatidae (Ducks, Geese, Swans)","CR"
"435","Anas platyrhynchos","Mallard","Anatidae (Ducks, Geese, Swans)","LC"
"433","Anas rubripes","American Black Duck","Anatidae (Ducks, Geese, Swans)","LC"
"434","Anas fulvigula","Mottled Duck","Anatidae (Ducks, Geese, Swans)","LC"
"436","Anas wyvilliana","Hawaiian Duck","Anatidae (Ducks, Geese, Swans)","EN"
"454","Anas bahamensis","White-cheeked Pintail","Anatidae (Ducks, Geese, Swans)","LC"
"457","Anas acuta","Northern Pintail","Anatidae (Ducks, Geese, Swans)","LC"
"462","Anas crecca","Common Teal","Anatidae (Ducks, Geese, Swans)","LC"
"30242","Anas carolinensis","Green-winged Teal","Anatidae (Ducks, Geese, Swans)","LC"
"3632","Tachybaptus dominicus","Least Grebe","Podicipedidae (Grebes)","LC"
"3633","Podilymbus podiceps","Pied-billed Grebe","Podicipedidae (Grebes)","LC"
